column,missing,missing_rate
deathtime,29347,0.9355414581274507
dod,17964,0.5726672829863878
death_datetime,17964,0.5726672829863878
days_to_death,17964,0.5726672829863878
hadm_id,0,0.0
admittime,0,0.0
subject_id,0,0.0
anchor_age,0,0.0
dischtime,0,0.0
gender,0,0.0
admission_type,0,0.0
marital_status,0,0.0
myocardial_infarct,0,0.0
insurance,0,0.0
race,0,0.0
cerebrovascular_disease,0,0.0
dementia,0,0.0
chronic_pulmonary_disease,0,0.0
rheumatic_disease,0,0.0
peptic_ulcer_disease,0,0.0
mild_liver_disease,0,0.0
congestive_heart_failure,0,0.0
peripheral_vascular_disease,0,0.0
diabetes_with_cc,0,0.0
diabetes_without_cc,0,0.0
paraplegia,0,0.0
renal_disease,0,0.0
metastatic_solid_tumor,0,0.0
aids,0,0.0
malignant_cancer,0,0.0
severe_liver_disease,0,0.0
cci_without_hf,0,0.0
cci_total,0,0.0
death_90d,0,0.0
time_to_event_90d,0,0.0
gender_male,0,0.0
age_group,0,0.0
cci_group,0,0.0
race_simple,0,0.0
